,slang,formal
1230,crny , caranya
1231,cth , contoh
1232,cuaaantikk,cantik
1233,cuaantik,cantik
1234,cuantek,cantik
1235,cuanti,cantik
1236,cuantik,cantik
1237,cuantikkk,cantik
1238,cubanget,lucu banget
1239,cuchook,cocok
1240,cuco,cocok
1241,cucok,cocok
1242,cucok , cocok
1243,cucokkk,cocok
1244,cuek , tidak acuh
1245,cuex , cuek
1246,cukurrr,cukur
1247,cuma,hanya
1248,cuman , Cuma
1249,cumi , Cuma miscall
1250,cumn,cuman
1251,cums,cuma
1252,cungkring , kurus tinggi
1253,cups , culun
1254,cupu , culun
1255,curanmor , pencurian kendaraan bermotor
1256,curas , pencurian dengan kekerasan
1257,curcol , curahan hati colongan
1258,curhat , curahan hati
1259,curhat2,curhat-curhat
1260,cust , customer
1261,cuyy,cuy
1262,cuyyy,cuy
1263,cw,cewek
1264,cwe,cewek
1265,cwek,cewek
1266,cwek , cewek
1267,cwnya,ceweknya
1268,cwo,cowok
1269,cwo , cowo
1270,cwok,cowok
1271,cwok , cowok
1272,cyiiin,cinta
1273,cyin,cinta
1274,cyin , cinta
1275,cz , karena
1276,d,ada
1277,d,di
1278,d , di
1279,d.apa,diapa
1280,d.bikinin,dibikin
1281,da,sudah
1282,da,ada
1283,da,dah
1284,daaaah,deh
1285,daaah,dah
1286,daah,dah
1287,daah,deh
1288,dagh , sudah
1289,dah,deh
1290,dah , deh
1291,dah , sudah
1292,dahh,dah
1293,dahh,deh
1294,dahhhh,dah
1295,dak,indak
1296,dalem2,dalam-dalam
1297,dalil2,dalil-dalil
1298,dallam,dalam
1299,damang , sehat
1300,dapet,dapat
1301,dapet , dapat
1302,dapetin,mendapati
1303,dapetin,mendapatkan
1304,darpada,daripada
1305,dasaar,dasar
1306,dasarrr,dasar
1307,dasyat,dahsyat
1308,dateng,datang
1309,dateng , datang
1310,dblkang,dibelakang
1311,dblkng,dibelakang
1312,dbnding,dibanding
1313,dbuat,dibuat
1314,dbwh,dibawah
1315,dcintai,dicintai
1316,ddlm,di dalam
1317,ddpat,didapat
1318,ddpt,didapat
1319,de,dek
1320,de,deh
1321,de , adik
1322,debay,adek bayi
1323,dech,deh
1324,dech , deh
1325,dede,adek
1326,dedek,adek
1327,dedeknya,adeknya
1328,dee,dek
1329,deeek,dek
1330,deeh,deh
1331,deg2an,deg-degan
1332,dehat,sehat
1333,dehh,deh
1334,dehhh,deh
1335,dehhhh,deh
1336,dek , adik
1337,deket,dekat
1338,deket , dekat
1339,deketin,dekati
1340,dekk,dek
1341,dekkk,dek
1342,dekt,dekat
1343,demen , suka
1344,dempga,semoga
1345,dengarin,mendengarkan
1346,dengeeriin,dengarkan
1347,denger,dengar
1348,denger , dengar
1349,dengerin,dengarkan
1350,dengerin,mendengarkan
1351,dengerin , dengarkan
1352,deuhh,duh
1353,dewassa,dewasa
1354,deyh , deh
1355,dg,dengan
1356,dg , dengan
1357,dgn,dengan
1358,dgn , dengan
1359,dgr,dengar
1360,dgr , dengar
1361,dh,deh
1362,dh,dah
1363,dh , deh
1364,dh , sudah
1365,dhe,deh
1366,dhi,di
1367,dhpusin,dihapuskan
1368,diaa,dia
1369,diaaa,dia
1370,diajarin,diajari
1371,diakibtkn,diakibatkan
1372,"diam""",diam-diam
1373,diamkn,diamkan
1374,diancurin , dihancurkan
1375,dianter,diantar
1376,dianterin,diantar
1377,dianterin,diantarkan
1378,diapa2in,diapa-apai
1379,diapain,diapakan
1380,dibanggain,dibanggakan
1381,dibangga'in,dibangga-banggakan
1382,dibiarin,dibiarkan
1383,dibikin2,dibikin-bikin
1384,dibkatakan,dikatakan
1385,dibls,dibalas
1386,dibnggain,dibanggakan
1387,didapet,didapat
1388,didatengin,didatangi
1389,didengerin,didengarkan
1390,die , dia
1391,dieee,dia
1392,diem,diam
1393,diem2 , diam diam
1394,diemin,diamkan
1395,diemm,diam
1396,difotoin,difoto
1397,digabtikan,digantikan
1398,digambarin,digambarkan
1399,diginiin,dibeginikan
1400,diginikan,dibeginikan
1401,digituin,dibegitukan
1402,digosipin , digosipkan
1403,dihargain,dihargai
1404,dihh,dih
1405,dihpus,dihapus
1406,dii,di
1407,diihhhh,dih
1408,diindonesis,diindonesia
1409,diingetin,diingatkan
1410,dijadiin,dijadikan
1411,dijelekin,dijelekkan
1412,dijkt,dijakarta
1413,dijwb,dijawab
1414,dikata2in,dikata-katai
1415,dikatain,dikatai
1416,dikemanain,dikemanakan
1417,dikerasin,dikerasi
1418,diksi,dikasih
1419,dikti  , direktoral jendral pendidikan tinggi
1420,diladenin,diladeni
1421,dilepas2,dilepas-lepas
1422,diliat,dilihat
1423,diliatnya,dilihatnya
1424,dilindungin,dilindungi
1425,diluangin,diluangkan
1426,diluarann,diluaran
1427,dimaafin , dimaafkan
1428,"dimana""",dimana-mana
1429,dimana2 , dimana-mana
1430,dimao,dimau
1431,dimarahin,dimarahi
1432,dimasukin,dimasuki
1433,dimintak , diminta
1434,dimna , dimana
1435,dimusiumin,dimuseumkan
1436,dinamakn,dinamakan
1437,"dingin""",dingin-dingin
1438,dinyanyiin,dinyanyikan
1439,dipake,dipakai
1440,dipermainin,dipermainkan
1441,dipikirin,dipikirkan
1442,dipojokin,dipojokkan
1443,dipuja2,dipuja-puja
1444,diputusin,diputuskan
1445,direhap , direhab
1446,dirimuuu,dirimu
1447,dirmh,dirumah
1448,dirumahny,dirumahnya
1449,disiniii,disini
1450,disni,disini
1451,disono , di sana
1452,disupirin,disopiri
1453,ditayangin,ditayangkan
1454,ditengah2,ditengah-tengah
1455,ditutupin,ditutupi
1456,dituutup,ditutup
1457,diuber , dikejar
1458,diurusin,diurusi
1459,dket , dekat
1460,dket2in,dekat-dekati
1461,dki , daerah khusus ibukota
1462,dkit , sedikit
1463,dkk,dan kawan-kawan
1464,dkk ,dan kawan-kawan
1465,dkuburnya,dikuburnya
1466,dl,dulu
1467,dl , dulu
1468,dlam,dalam
1469,dll , dan lain-lain
1470,dlm,dalam
1471,dlm , dalam
1472,dlu,dulu
1473,dlu , dulu
1474,dluar,diluar
1475,dmaksud , dimaksud
1476,dmana,dimana
1477,dmn,dimana
1478,dmn , dimana
1479,dmna,dimana
1480,dn,dan
1481,dn , dan
1482,dng,dengan
1483,dngan,dengan
1484,dngerin,mendengarkan
1485,dngn , dengan
1486,dnk,dong
1487,do,di
1488,doa2,doa-doa
1489,doaang,doang
1490,doang , saja
1491,doangam,doang
1492,doank,doang
1493,dodol , bodoh
1494,doeloe,dulu
1495,doi , dia
1496,doku , uang
1497,don juan , playboy
1498,dongg,dong
1499,donggg,dong
1500,dongggg,dong
1501,dongok , bodoh
1502,dongs , dong
1503,donk,dong
1504,donk , dong
1505,donkk,dong
1506,donks,dong
1507,donlot , unduh
1508,donx,dong
1509,doong,dong
1510,doonk,dong
1511,dooong,dong
1512,dosa2mu,dosa-dosamu
1513,dosaa,dosa
1514,dosaaaaaaaaaa,dosa
1515,dosax,dosanya
1516,dpke,dipakai
1517,dpn,depan
1518,dposisi,diposisi
1519,dpotong,dipotong
1520,dpr , dewan perwakilan rakyat
1521,dprd , dewan perwakilan rakyat daerah
1522,dpt,dapat
1523,dpt , dapat
1524,dptkan,dapatkan
1525,dptnya,dapatnya
1526,dr,dari
1527,Dr , dokter
1528,dr , dari
1529,dramaa,drama
1530,dri,dari
1531,dri , dari
1532,drii,dari
1533,drimana,darimana
1534,drimnanya,darimananya
1535,dripada,daripada
1536,dripda,daripada
1537,drmana , darimana
1538,drmn,darimana
1539,drmn , darimana
1540,drpada,daripada
1541,drpd,daripada
1542,drpd , dari pada
1543,drpd , daripada
1544,drtd , dari tadi
1545,dsana,disana
1546,dsar,dasar
1547,dsb , dan sebagainya
1548,dsini,disini
1549,dsna,disana
1550,dsni,disini
1551,dsr,dasar
1552,dsrny,dasarnya
1553,dssi,disisi
1554,dst , dan seterusnya
1555,dstu,disitu
1556,dstu , disitu
1557,dteng,datang
1558,dtg,datang
1559,dtg , datang
1560,dtggu,ditunggu
1561,dtgkan,datangkan
1562,dtinggl,ditinggal
1563,dtnggu,ditunggu
1564,dtunggu,ditunggu
1565,dua2nya,dua-duanya
1566,duanyaa,duanya
1567,duetin,duet
1568,dugem , dunia gemerlap
1569,duh , aduh
1570,duhh,duh
1571,duhhh,duh
1572,duhhhhh,duh
1573,duit , uang
1574,dulu , dahulu
1575,dulurrr,dulur
1576,duluu,dulu
1577,duluuu,dulu
1578,dumsss,dong
1579,dung,dong
1580,dungu , bodoh
1581,dunk,dong
1582,dureen,duren
1583,duren , durian
1584,durhaka2,durhaka-durhaka
1585,duuhh,duh
1586,duuhhh,duh
1587,duuhhhhh,duh
1588,duuuhh,duh
1589,duuuhhh,duh
1590,dwh,deh
1591,dwsa,dewasa
1592,dy,dia
1593,dy , dia
1594,dya,dia
1595,dzolim , zalim
1596,ea,ya
1597,eakyu,waktu
1598,ed , edisi
1599,edaaaan,edan
1600,edaaan,edan
1601,edaaann,edan
1602,edan , gila
1603,edannn,edan
1604,editannn,editan
1605,eeeeh,eh
1606,eeeehhhh,eh
1607,eehhh,eh
1608,eey,eh
1609,ego , emosi
1610,egp , emang gue pikirin
1611,ehh,eh
1612,ehhh,eh
1613,eike , aku
1614,eke , aku
1615,eksprsi,ekspresi
1616,elaaaahhhh,alah
1617,elahh,alah
1618,elo,lo
1619,elo , anda
1620,elo , kamu
1621,elo2,lo-lo
1622,eloo,lo
1623,elu,lu
1624,elu , kamu
1625,elus2,elus-elus
1626,ema,emak
1627,emak2,emak-emak
1628,emakx,emaknya
1629,emang,memang
1630,emang , memang
1631,emangnya,memangnya
1632,emangnya , memangnya
1633,emank,memang
1634,emank , memang
1635,emeessss,gemas
1636,emeezzz,gemas
1637,emeshh,gemas
1638,emesshhh,gemas
1639,emessss,gemas
1640,emg,memang
1641,emg , memang
1642,emk,emak
1643,emng,memang
1644,emng , memang
1645,emngnya,memangnya
1646,emnknya,memangnya
1647,emte , makan teman
1648,en,dan
1649,enakkkkk,enak
1650,endak , tidak
1651,endonesa,indonesia
1652,engga,enggak
1653,engga , tidak
1654,"engga""",enggak-enggak
1655,enggak,tidak
1656,enggak , tidak
1657,engk,enggak
1658,enk,enak
1659,entahhh,entah
1660,entar , nanti
1661,ente,kamu
1662,entr,entar
1663,envy , iri
1664,epe,apa
1665,eps , episode
1666,etc , et cetera
1667,euyyyyy,euy
1668,ex , mantan
1669,expresi,ekspresi
1670,ext , extension
1671,eyke,aku
1672,fahami , pahami
1673,fak , fakultas
1674,fakta2,fakta-fakta
1675,fakta2 , fakta-fakta
1676,faktakta , fakta
1677,fakultass,fakultas
1678,fans,fan
1679,fans2,fan-fan
1680,fatanik,fanatik
1681,fav,favorit
1682,favoriteeee,favorit
1683,fax , facsimile
1684,fb , facebook
1685,fdsi , forum diskusi suporter indonesia
1686,fhoto,foto
1687,fhotonya,fotonya
1688,fi,di
1689,fifo , first in first out
1690,fikiran,pikiran
1691,fillm,film
1692,filmny,filmnya
1693,finek , finansial ekonomi
1694,fisip , fakultas ilmu sosial dan ilmu politik
1695,fitnag , fitnah
1696,flim.a,filmnya
1697,flm,film
1698,folbek , follow back
1699,fotbar,foto bareng
1700,"foto""",foto-foto
1701,foto2,foto-foto
1702,foto2nya,foto-fotonya
1703,fotoin,memfoto
1704,fotony,fotonya
1705,fpi , front pembela islam
1706,frestasiii,prestasi
1707,fto,foto
1708,fto2,foto-foto
1709,fwd , diterukan
1710,fyi , sebagai informasi
1711,g,enggak
1712,g,tidak
1713,g , tidak
1714,ga,enggak
1715,ga,tidak
1716,ga , tidak
1717,gaa,enggak
1718,gaada,enggak ada
1719,gaada , tidak ada uang
1720,gabakal,enggak bakal
1721,gabisa,enggak bisa
1722,gabisa , tidak bisa
1723,gada,enggak ada
1724,gadiss,gadis
1725,gag,enggak
1726,gag , tidak
1727,gagahx,gagahnya
1728,gahar , sangar
1729,gaharus,enggak harus
1730,gaje,enggak jelas
1731,gaje , tidak jelas
1732,gajelas,enggak jelas
1733,gak,enggak
1734,gak,tidak
1735,gak , tidak
1736,gak papa , tidak apa-apa
1737,gakk,enggak
1738,gakkk,enggak
1739,gakpapa,enggak apa-apa
1740,gakuat,enggak kuat
1741,gakusah,enggak usah
1742,gakwad,enggak kuat
1743,gamau,enggak mau
1744,gamau , tidak mau
1745,gambarin,gambarkan
1746,gan,juragan
1747,gan , juragan
1748,gangguin,mengganggu
1749,gans,ganteng
1750,ganteeeeng,ganteng
1751,ganteng2,ganteng-ganteng
1752,gantengbs , ganteng
1753,gantengg,ganteng
1754,gantenggg,ganteng
1755,gantengkuuuuuu,gantengku
1756,gantengnyaaaa,gantengnya
1757,gantengsaya , ganteng
1758,ganteung,ganteng
1759,gantheng,ganteng
1760,gantiin,menggantikan
1761,ganti'kn,menggantikan
1762,gantng,ganteng
1763,gantweng,ganteng
1764,gapake,enggak pakai
1765,gapap,enggak apa-apa
1766,gapapa , tidak apa-apa
1767,gapernah,enggak pernah
1768,gaprgi,enggak pergi
1769,gaptek , gagap teknologi
1770,gapunya,enggak punya
1771,gara'',gara-gara
1772,"gara""",gara-gara
1773,gara2,gara-gara
1774,garemin,garami
1775,garuk2,garuk-garuk
1776,gasalah,enggak salah
1777,gasih,enggak sih
1778,gatau,enggak tau
1779,gatau , tidak tahu
1780,gataunya,enggak taunya
1781,gatek , gagap teknologi
1782,gatot , gagal total
1783,gausa,enggak usah
1784,gausah,enggak usah
1785,gawe , kerja
1786,gawl,gaul
1787,gawul,gaul
1788,gax , tidak
1789,gayannxa,gayanya
1790,gayany,gayanya
1791,gayax,gayanya
1792,gbs,enggak bisa
1793,gbs , tidak bisa
1794,gd , gusdur
1795,gda,enggak ada
1796,gda , tidak ada uang
1797,gde,gede
1798,gebetan , orang yang disuka
1799,gebleg,geblek
1800,gedeg,gedek
1801,geeelaakk,gila
1802,geer , gede rasa
1803,geetoo,begitu
1804,gegara , gara-gara
1805,gegra,gegara
1806,geh,gih
1807,gehh,gih
1808,geje , tidak jelas
1809,gelo , gila
1810,gemay,gemas
1811,gemeeezzzz,gemas
1812,gemeessss,gemas
1813,gemes,gemas
1814,gemesiin,menggemaskan
1815,gemesin,menggemaskan
1816,gemesinnnnn,menggemaskan
1817,gemesnya,gemasnya
1818,gemess,gemas
1819,gemesshh,gemas
1820,gemesshzzzzhzzhzhzhsjssjs,gemas
1821,gemesss,gemas
1822,gemesyak,gemas ya
1823,gemez,gemas
1824,gemezz,gemas
1825,gemezzzz,gemas
1826,gemmeeezzz,gemas
1827,genduut,gendut
1828,gene , begini
1829,geneeee,begini
1830,genggg,geng
1831,genittt,genit
1832,gepeng , gelandangan dan pengemis
1833,geuliiiiiiis,geulis
1834,gewlaaaaa,gila
1835,gg,enggak
1836,gga,enggak
1837,ghiey , lagi
1838,ghiy , lagi
1839,gi , lagi
1840,gib , gerakan indonesia beradab
1841,giitu,begitu
1842,gilaa,gila
1843,gilaaa,gila
1844,gilaaaa,gila
1845,gilaaaaaa,gila
1846,gilak,gila
1847,gilakkk,gila
1848,gilakkkkk,gila
1849,gilakkkkkk,gila
1850,gile,gila
1851,gile , gila
1852,gils,gila
1853,gilsss,gila
1854,gilzz,gila
1855,giman , gigi mancung
1856,gimana,bagaimana
1857,gimana , bagaimana
1858,gimanaa,bagaimana
1859,gimanaaaa,bagaimana
1860,gimn,bagaimana
1861,gimna,bagaimana
1862,gingsungny,gingsulnya
1863,gini,begini
1864,gini , begini
1865,ginian,beginian
1866,ginii,begini
1867,giniii,begini
1868,giniin,beginikan
1869,gino , gigi nongol
1870,ginting,ganteng
1871,gitchu , gitu
1872,githu , gitu
1873,giti,begitu
1874,gitu,begitu
1875,gitu , begitu
1876,gitu2,begitu-gitu
1877,gituan,begituan
1878,gituh,begitu
1879,gituin,begitukan
1880,gitulah,begitulah
1881,gituu,begitu
1882,gituuu,begitu
1883,gituuuuu,begitu
1884,gj , tidak jelas
1885,gk,enggak
1886,gk,tidak
1887,gk , tidak
1888,gkhianati,mengkhianati
1889,gkk,enggak
1890,gkkan,enggak akan
1891,gksalah,enggak salah
1892,gksi,enggak sih
1893,glembeeeer,gelambir
1894,gmana,bagaimana
1895,gmana , bagaimana
1896,gmanapun,bagaimanapun
1897,gmau,enggak mau
1898,gmn,bagaimana
1899,gmn , bagaimana
1900,gmn , bagamana
1901,gmna,bagaimana
1902,gmpg,gampang
1903,gn,begini
1904,gn , begini
1905,gndakan,gandakan
1906,gni,begini
1907,gnii,begini
1908,gnti,ganti
1909,gnyngka,enggak menyangka
1910,goblog , goblok
1911,goblok , bodoh
1912,goblokkk,goblok
1913,gokiiill,gila
1914,gokil,gila
1915,gokil , gila
1916,gokill,gila
1917,gokilll,gila
1918,gokillllll,gila
1919,gokilnya,gilanya
1920,golongan2 , golongan-golongan
1921,golput , golongan putih
1922,gombal , suka merayu
1923,goncengin,boncengkan
1924,good , bagus
1925,gosipin,menggosipkan
1926,gossip2.an,gosip-gosipan
1927,governor , gubernur
1928,gowes , mengayuh sepeda
1929,gpl , tidak pakai lama
1930,gpny , tidak punya
1931,gpp,enggak apa-apa
1932,gpp , tidak apa-apa
1933,gr , gede rasa
1934,gr2,gara-gara
1935,gra2,gara-gara
1936,graaatiiiis,gratis
1937,gratiss,gratis
1938,gratisss,gratis
1939,greged,greget
1940,gretong , gratis
1941,gretongan , gratisan
1942,grgr,gara-gara
1943,grunya,gurunya
1944,gt,begitu
1945,gt , begitu
1946,gt , gitu
1947,gtau,enggak tau
1948,gtau,tidak tahu
1949,gtau , tidak tahu
1950,gthu,begitu
1951,gtu,begitu
1952,"gtu""",begitu-gitu
1953,"gtu""an",begitu-gituan
1954,gtu2,begitu-gitu
1955,gtuh,begitu
1956,gtuu,begitu
1957,gtw,enggak tau
1958,gtw , tidak tahu
1959,gua,saya
1960,gua , saya
1961,guaa,gua
1962,guaaaaaaa,gua
1963,guanteng,ganteng
1964,gub,gubernur
1965,gub , gubernur
1966,gue,saya
1967,gue , saya
1968,guee,gue
1969,gueee,gue
1970,gueeeee,gue
1971,guna , menggunakan
1972,gunaa,guna
1973,guoblok , goblok
1974,guw,gue
1975,guys , teman-teman
1976,gw,gue
1977,gw,saya
1978,gw , saya
1979,gws , cepat sembuh
1980,gx,enggak
1981,gya,gaya
1982,ha , tertawa
1983,habis2an , habis-habisan
1984,hadapin,menghadapi
1985,haddeh,aduh
1986,hadeeehhh,aduh
1987,hadeehh,aduh
1988,hadeeuh,aduh
1989,hadeuh,aduh
1990,hadeuuh,aduh
1991,hadeuuhhhh,aduh
1992,hadirr,hadir
1993,hadirrr,hadir
1994,haduh,aduh
1995,haduuuh,aduh
1996,haghaghag , tertawa
1997,haha , tertawa
1998,haii,hai
1999,haiii,hai
2000,hak2 , hak hak
2001,hakhak , tertawa
2002,hal2,hal-hal
2003,halahh,alah
2004,halangin,halangi
2005,halllo,halo
2006,hallo,halo
2007,hallooo,halo
2008,hallow , halo
2009,halooo,halo
2010,halow,halo
2011,ham , hak asasi manusia
2012,hampasss,hempas
2013,hancurin,menghancurkan
2014,hancuuuuuy,hancur
2015,handak , bahan peledak
2016,hankam , pertahanan dan keamanan
2017,hansip , pertahanan sipil
2018,"happi""",hepi-hepi
2019,happy , bahagia
2020,hapusin,hapuskan
2021,haragain,menghargai
2022,hardcore , keras
2023,hargs,harga
2024,hari2,hari-hari
2025,haru,harus
2026,hasilnyaaa,hasilnya
2027,haslnya,hasilnya
2028,hat,hati
2029,"hati""",hati-hati
2030,hati.a,hatinya
2031,hati2,hati-hati
2032,hatii,hati
2033,hatiiii,hati
2034,hay,hai
2035,hayal,khayal
2036,hayalanku,khayalanku
2037,hayooo,hayo
2038,hayukk,hayo
2039,hayuu,hayo
2040,hbis,habis
2041,hbs,habis
2042,hdk,hendak
2043,hdp,hidup
2044,hdpn,hadapan
2045,hdpnya,hidupnya
2046,hdup,hidup
2047,hebaat,hebat
2048,hebatt,hebat
2049,hedeuuhh,aduh
2050,heeee,hai
2051,hehe , he
2052,hehh,eh
2053,heii,hai
2054,helloo,halo
2055,hellooooooo,halo
2056,hellow , halo
2057,helo,halo
2058,helo , halo
2059,helooooo,halo
2060,helow , halo
2061,hematt,hemat
2062,hempaass,hempas
2063,heter , pembenci
2064,heters , pembenci
2065,hey , hai
2066,hgga,hingga
2067,hi , hai
2068,hianatin,khianati
2069,hidiyah,hidayah
2070,hiduppp,hidup
2071,hidupppp,hidup
2072,hidupx,hidupnya
2073,hiduupppp,hidup
2074,hiii,hai
2075,hijaabbb,hijab
2076,hijabb,hijab
2077,hijap,hijab
2078,hilangin,menghilangkan
2079,hilangv,hilang
2080,himana,bagaimana
2081,hiraukn,hiraukan
2082,hiri,hari
2083,hlm , halaman
2084,hlng , hilang
2085,hmpir,hampir
2086,hndak,hendak
2087,hndk,hendak
2088,hngga,hingga
2089,hny,hanya
2090,hny , hanya
2091,hnya,hanya
2092,hnya , hanya
2093,hoax , isu bohong
2094,hokiii,hoki
2095,hot2nya , hot-hotnya
2096,hotak,botak
2097,hotx,hotnya
2098,houm , rumah
2099,hpus,hapus
2100,hr,hari
2101,hr , hari
2102,hri,hari
2103,hrs,harus
2104,hrs , harus
2105,hrsny,harusny
2106,hrsnya,harusnya
2107,hrus,harus
2108,hrus , harus
2109,hrusnya,harusnya
2110,hslnya,hasilnya
2111,ht,hati
2112,hub,hubungi
2113,hub,menghubungi
2114,hub,hubungan
2115,hubad , hubungan angkatan darat
2116,hubdar , perhubungan darat
2117,hubla , perhubungan laut
2118,hubngan,hubungan
2119,hubunggi,hubungi
2120,huff , mengeluh
2121,huft , mengeluh
2122,hujatann,hujatan
2123,hum , rumah
2124,humas , hubungan masyarakat
2125,humoris , lucu
2126,humz , rumah
2127,hurts , pedih
2128,hy,hai
2129,ia,dia
2130,iaa,ya
2131,iaa,iya
2132,ibliss,iblis
2133,ibu2,ibu-ibu
2134,ibuk2,ibu-ibu
2135,idamann,idaman
2136,ide2 , ide-ide
2137,idk , saya tidak tahu
2138,idolaa,idola
2139,idoolaaa,idola
2140,idung,hidung
2141,idungnya,hidungnya
2142,idup,hidup
2143,idup , hidup
2144,idupnya,hidupnya
2145,igtlah,ingatlah
2146,ihh,ih
2147,ihhh,ih
2148,ihhhh,ih
2149,ihhhhh,ih
2150,iih,ih
2151,iihh,ih
2152,iiih,ih
2153,iiihh,ih
2154,iiihhhh,ih
2155,iiihhhhh,ih
2156,iiii,ih
2157,iiiihhhhhj,ih
2158,iiiiiiiii,ih
2159,iiiiiiiiii,ih
2160,ijap,ijab
2161,ikh,ih
2162,ikon , lambang
2163,ikut2,ikut-ikut
2164,ikut2an,ikut-ikutan
2165,ikutin,mengikuti
2166,ikutin,ikuti
2167,ilang,hilang
2168,ilang , hilang
2169,"ilang""",hilang-hilang
2170,ilang2,hilang-hilang
2171,ilang2an,hilang-hilangan
2172,ilang-in,hilangkan
2173,ilfeel , tidak suka
2174,ilfil , tidak suka
2175,ilmh,ilmu
2176,imba , jago sekali
2177,imho , in my humble opinion
2178,imoet,imut
2179,imoet , imut
2180,imoetz , imut
2181,imut2,imut-imut
2182,imutt,imut
2183,imutttttt,imut
2184,imuttzz,imut
2185,imuutt,imut
2186,imuuttt,imut
2187,in,ini
2188,indahhh,indah
2189,indefendet,independen
2190,indinesia , indonesia
2191,indo,indonesia
2192,indo , indonesia
2193,indon , Indonesia
2194,indoneaia,indonesia
2195,indonesiaaa,indonesia
2196,indonesiaah,indonesia
2197,info , informasi
2198,infpyunnnn,ampun
2199,ingeet,ingat
2200,inget,ingat
2201,ingetin,mengingatkan
2202,inggat,ingat
2203,inggrisny,inggrisnya
2204,inghinn,ingin
2205,ingi,ingin
2206,inginkn,inginkan
2207,ingt,ingat
2208,inia,ini
2209,iniehh,ini
2210,inih,ini
2211,inihhh,ini
2212,inii,ini
2213,iniii,ini
2214,iniiiii,ini
2215,iniiiiiiiiiiiiiii,ini
2216,iniw,ini
2217,inni,ini
2218,insaallah,insyaa allah
2219,insallah,insyaa allah
2220,insom , insomnia
2221,insonniaaa,insomnia
2222,insyaallah,insyaa allah
2223,insyallah,insyaa allah
2224,iooo,lo
2225,ipb , institut pertanian bogor
2226,iriiiii,iri
2227,irit , hemat
2228,iseng2,iseng-iseng
2229,isengin , bercanda
2230,ista , nista
2231,istaa , nista
2232,istimewaaa,istimewa
2233,istiqamah,istikamah
2234,istiqomah,istikamah
2235,istiqomahhh,istikamah
2236,isu2 , isu-isu
2237,it,itu
2238,item , hitam
2239,ithu,itu
2240,itj , Indonesia tanpa jil
2241,ito , itu
2242,itu2 , itu-itu
2243,ituh,itu
2244,itumahh,itumah
2245,itung , hitung
2246,itungan,hitungan
2247,itungan , hitungan
2248,ituu,itu
2249,ituuu,itu
2250,ituuuu,itu
2251,ityl,itil
2252,iu,itu
2253,iy,iya
2254,iy , iya
2255,iyaa,iya
2256,iyaaa,iya
2257,iyaaaa,iya
2258,iyaap,iya
2259,iyaappps,iya
2260,iyah,iya
2261,iyak,iya
2262,iyala , iya lah
2263,iyap,iya
2264,iye,iya
2265,iye , iya
2266,iyh,iya
2267,iyha,iya
2268,iyo , iya
2269,iyuh,ih
2270,iyuuhhh,ih
2271,iyuuuhhhh,ih
2272,j,saja
2273,ja,saja
2274,ja , saja
2275,jaaangan,jangan
2276,jaadii,jadi
2277,jabar , jawa barat
2278,jablay , jarang dibelai
2279,jadii,jadi
2280,jadiin,jadikan
2281,jadiin , jadi
2282,jadiin , jadikan
2283,jadilh,jadilah
2284,jadu,jadi
2285,jadul , jaman dulu
2286,jadulnya,jaman dulunya
2287,jagain,jaga
2288,jagain,menjaga
2289,jahatin,menjahati
2290,jaim , jaga image
2291,jakety,jaketnya
2292,"jalan""nya",jalan-jalannya
2293,jalan2,jalan-jalan
2294,jalanani,menjalani
2295,jalanin,menjalani
2296,jamam,jaman
2297,jaman2,jaman-jaman
2298,jaman2nya,jaman-jamannya
2299,jan,jangan
2300,jan , jangan
2301,jancuk , anjing
2302,"jangan""",jangan-jangan
2303,jangan2,jangan-jangan
2304,janjinyaa , janji
2305,janjutin,lanjutkan
2306,janka,jangka
2307,jaoooh,jauh
2308,jargon2 , jargon jargon
2309,jari2,jari-jari
2310,jatim , jawa timur
2311,jatoh,jatuh
2312,jatohin , menjatuhkan
2313,jatuhnyaa,jatuhnya
2314,jauhh,jauh
2315,jauhhh,jauh
2316,jauhin,jauhi
2317,jauuhhh,jauh
2318,jawabanny,jawabannya
2319,jawapan , jawaban
2320,jayus , tidak lucu
2321,jd,jadi
2322,jd , jadi
2323,jdi,jadi
2324,jdi , jadi
2325,jdii,jadi
2326,jdikan , jadikan
2327,jdulnya,judulnya
2328,jdwl,jadwal
2329,jd'y,jadinya
2330,je , saja
2331,"jelas""",jelas-jelas
2332,jelas2,jelas-jelas
2333,jelas2 , jelas-jelas
2334,jelase,jelas
2335,jelashh,jelas
2336,jelasssss,jelas
2337,"jelek""in",menjelek-jelekkan
2338,jelek2,jelek-jelek
2339,jelekin,menjelekkan
2340,jelex,jelek
2341,jels,jelas
2342,jem , jam
2343,jendes,janda
2344,jendess,janda
2345,jendesss,janda
2346,jendral,jenderal
2347,jeniuss,jenius
2348,jentelmen , berani
2349,jerewi,jerawat
2350,jg,juga
2351,jg , juga
2352,jga,juga
2353,jga , juga
2354,jgan,jangan
2355,jgk,juga
2356,jgk , juga
2357,jgn,jangan
2358,jgn , jangan
2359,jgn2,jangan-jangan
2360,jgnkan , jangankan
2361,jh,saja
2362,ji2k , jijik
2363,jidad,jidat
2364,jijay , jijik
2365,jil , jaringan islam liberal
2366,jilbabny,jilbabnya
2367,jilbabnyaah,jilbabnya
2368,jilbabnye,jilbabnya
2369,jilbb,jilbab
2370,jing,anjing
2371,jir , anjing
2372,jirr,anjir
